date,mktrf,smb,hml,rf,umd
197806,-0.016900,0.016600,0.005700,0.00540,0.027800
197807,0.051100,0.002500,-0.011100,0.00560,0.042200
197808,0.037500,0.050600,-0.005700,0.00560,0.028200
197809,-0.014300,-0.004300,0.018600,0.00620,-0.031100
197810,-0.119100,-0.098900,0.013900,0.00680,-0.083900
197811,0.027100,0.030000,-0.021400,0.00700,0.055200
197812,0.008800,0.012900,-0.021300,0.00780,0.030500
197901,0.042300,0.036200,0.022000,0.00770,-0.012400
197902,-0.035600,0.004500,0.011400,0.00730,-0.010600
197903,0.056800,0.032200,-0.007300,0.00810,0.028800
197904,-0.000600,0.021800,0.010800,0.00800,0.008100
197905,-0.022100,0.001900,0.013200,0.00820,-0.005700
197906,0.038500,0.011600,0.013900,0.00810,0.008200
197907,0.008200,0.012800,0.018600,0.00770,-0.010900
197908,0.055300,0.020500,-0.015800,0.00770,-0.002300
197909,-0.008200,-0.002700,-0.009000,0.00830,0.053400
197910,-0.081000,-0.033700,-0.018600,0.00870,0.021200
197911,0.052100,0.028700,-0.032800,0.00990,0.079600
197912,0.017900,0.041700,-0.021000,0.00950,0.047800
198001,0.055100,0.016200,0.017500,0.00800,0.075100
198002,-0.012200,-0.018500,0.006100,0.00890,0.078800
198003,-0.129000,-0.066400,-0.010100,0.01210,-0.095900
198004,0.039700,0.010500,0.010800,0.01260,-0.004200
198005,0.052600,0.021300,0.003800,0.00810,-0.011100
198006,0.030600,0.016600,-0.007600,0.00610,0.015900
198007,0.064900,0.041400,-0.064100,0.00530,0.003700
198008,0.018000,0.039300,-0.026100,0.00640,0.031900
198009,0.021900,0.009700,-0.045800,0.00750,0.054400
198010,0.010600,0.025000,-0.027900,0.00950,0.073200
198011,0.095900,-0.033600,-0.083300,0.00960,0.152400
198012,-0.045200,-0.002600,0.027900,0.01310,-0.066500
198101,-0.050400,0.029200,0.067200,0.01040,-0.079400
198102,0.005700,-0.003400,0.010200,0.01070,-0.013900
198103,0.035600,0.035400,0.006400,0.01210,0.007300
198104,-0.021100,0.044000,0.022800,0.01080,-0.009500
198105,0.001100,0.020000,-0.004200,0.01150,0.037500
198106,-0.023600,-0.008300,0.051300,0.01350,-0.059000
198107,-0.015400,-0.021800,-0.004900,0.01240,-0.025200
198108,-0.070400,-0.019400,0.047900,0.01280,-0.011200
198109,-0.071700,-0.026500,0.051700,0.01240,0.019700
198110,0.049200,0.022300,-0.042100,0.01210,0.040700
198111,0.033600,-0.010300,0.018500,0.01070,-0.002600
198112,-0.036500,0.012000,0.008200,0.00870,0.013200
198201,-0.032400,-0.012800,0.031900,0.00800,0.017300
198202,-0.058600,0.004400,0.060500,0.00920,0.050000
198203,-0.018700,-0.002100,0.038300,0.00980,0.029300
